"policy_days","hold_occupancy","hold_mean_queue","icu_occupancy","icu_mean_queue","total_rtd","total_dow","dispositions","in_theatre_share","post_definitive_icu_share","evac_decisions","never_evacuated","mean_evac_wait_days","role4_sustained","role4_peak","theatre_mean_queue","released_unrepaired","role4_operations","role4_theatre_minutes","replication","hold_beds"
15,0.227539366748472,0,0.844210429769941,0.29166218586809,1957,13,2516,0.0441176470588235,0.319932049830125,2409,0,0.5526226811107,78.3412698412698,167,0.956711569807356,144,969,17053.6109310384,1,NA
15,0.257400187417182,0,0.855271745883221,0.960270211043425,2116,18,2650,0.0490566037735849,0.344450833812536,2530,0,0.26350984542103,91.3410852713178,177,1.82190569285041,128,1067,14778.9119558306,2,NA
15,0.255091431349424,0,0.861534366621997,0.449539942438694,1958,13,2631,0.0509312048650703,0.289340101522843,2508,6,0.643872499783811,87.7874015748032,197,1.81386307658974,204,1289,23448.6132367465,3,NA
15,0.290540865375672,0,0.876247447360558,0.79080156809254,2009,22,2727,0.0443711037770444,0.230487166055526,2615,0,1.39924986528345,97.6060606060606,202,2.33158907542776,222,1289,25041.8582354586,4,NA
15,0.265641525839772,0,0.883825467116065,0.601297214960972,1857,12,2451,0.0461036311709506,0.380592678675189,2346,0,0.21185628058265,113.638655462185,180,2.28032733722087,62,1083,7629.29847732405,5,NA
15,0.310198034414884,0,0.861653039467614,0.528622866821172,1941,19,2516,0.0488871224165342,0.334285714285714,2401,5,0.325127041514489,103.936,189,2.27426779922062,134,1105,14969.9227216081,6,NA
15,0.322990276861645,0,0.884873859922016,1.49555040149885,2074,12,2661,0.0499812100714017,0.311183144246353,2536,0,0.310539185762902,110.666666666667,192,5.16388645567062,117,1093,13728.6667305318,7,NA
15,0.296527756837804,0,0.882660103994524,0.853682858035816,2048,19,2607,0.0521672420406598,0.312294182217344,2482,1,0.302644459222066,117.555555555556,203,3.06604936525811,161,1186,18238.910252613,8,NA
15,0.256543993357465,0,0.867694806761903,0.330290820284002,1907,15,2438,0.0492206726825267,0.37020316027088,2323,0,0.191563747168226,93.9076923076923,178,1.15656505053102,71,936,7936.40545583523,9,NA
15,0.199615652001991,0,0.814424440653217,0.530355722554241,1997,11,2528,0.0494462025316456,0.364459535936616,2416,0,0.401873054988391,75.9212598425197,180,1.35700815199135,68,1107,7801.77827102486,10,NA
15,0.268298188057175,0,0.877433900187656,1.63829492112953,2062,16,2592,0.0462962962962963,0.316627358490566,2483,7,0.557660949609163,108.376,195,5.71674791994163,184,1115,20897.6381825133,11,NA
15,0.216512808711569,0,0.822432307938396,0.403327024221314,2027,11,2374,0.0446503791069924,0.389778325123153,2272,1,0.210315302396574,94.1583333333333,191,1.72550542173072,89,939,10071.0538404602,12,NA
15,0.246197328169398,0,0.872521833407003,0.632612912193479,2007,18,2578,0.0465477114041893,0.341261061946903,2463,0,0.2504264933749,95.2076923076923,191,1.71868032938561,108,1063,11963.0463713871,13,NA
15,0.25371309111472,0,0.887603187887471,0.678310653215849,2050,20,2702,0.0470022205773501,0.2737686139748,2583,0,1.02432298009141,91.1968503937008,234,2.00863115779396,260,1274,30373.0739986866,14,NA
15,0.284714299334865,0,0.877655465867927,1.87685188375328,1898,26,2520,0.0488095238095238,0.30963045912654,2405,0,0.314083175712106,98.7421875,190,4.13194147405593,155,1128,17752.497536362,15,NA
15,0.366505645449345,0,0.916688185634556,1.305518474644,1999,13,2590,0.0517374517374517,0.329676357652222,2468,0,0.243407434631957,120.669291338583,189,4.5020632080306,116,1041,13218.4246544754,16,NA
15,0.255547265093757,0,0.846267639002875,0.723949689390772,2032,18,2691,0.0442214790040877,0.305169538632574,2578,0,0.322323084794125,89.1538461538462,190,2.44374167869233,176,1114,20722.9380694371,17,NA
15,0.312622581591125,0,0.884972021068764,0.891066126828982,2085,13,2696,0.0534124629080119,0.296933835395374,2559,0,0.296834527510732,103.553846153846,200,3.13386647623473,163,1206,19175.6354195386,18,NA
15,0.249170097368948,0,0.887261225036351,0.666324737166497,2061,21,2698,0.0507783543365456,0.302038626609442,2574,0,0.30014950959162,104.157480314961,180,2.36662532375537,171,1105,19394.7053244517,19,NA
15,0.317127471370324,0,0.90719794039683,3.61915148938735,1962,12,2571,0.044729677168417,0.324022346368715,2465,3,0.375002213629591,119.676923076923,265,12.5190093234054,159,1185,17880.4913477631,20,NA
15,0.301647053578024,0,0.848676984342024,0.704800263194586,1986,8,2353,0.0539736506587335,0.350665054413543,2235,1,0.216119062710018,89.640625,161,2.71346823311448,110,886,12824.0176252423,21,NA
15,0.264692138721077,0,0.846714851550659,0.403639602033011,1937,12,2519,0.0531957125843589,0.34554678692221,2396,0,0.211678391281629,86.9701492537313,170,1.8709806441805,74,976,8669.22236116211,22,NA
15,0.244985080673102,0,0.85434529145735,0.789546559587017,1943,13,2511,0.0366387893269614,0.339074273412271,2423,1,0.248246813873045,91.968992248062,178,1.08534597307344,98,1131,11482.4976440684,23,NA
15,0.307771321718697,0,0.914646402161232,0.922231811816209,1986,21,2759,0.0420442189198985,0.28203781512605,2655,2,0.473979267817993,108.0234375,243,3.37962062073857,210,1305,24970.3981732344,24,NA
15,0.252653648986551,0,0.886784344382288,0.669636948992335,1891,13,2383,0.0419639110365086,0.362573099415205,2294,3,0.311294741485095,94.6747967479675,177,4.46039501223381,99,960,11468.6035963783,25,NA
